Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2003-04,22,MIA,NBA,PG,61,2126,17.6,.530,.066,.391,4.6,9.0,6.8,25.1,2.2,1.3,17.3,25.0,,2.2,2.3,4.6,.103,,0.9,0.4,1.3,1.8
2004-05 ★,23,MIA,NBA,SG,77,2974,23.1,.561,.034,.578,4.5,10.8,7.8,31.0,2.2,2.0,16.3,30.9,,6.7,4.3,11.0,.177,,3.1,1.4,4.4,4.8
2005-06 ★,24,MIA,NBA,SG,75,2892,27.6,.577,.054,.568,4.5,12.6,8.7,33.0,2.6,1.5,13.2,32.5,,10.2,4.2,14.4,.239,,5.9,1.6,7.5,7.0
2006-07 ★,25,MIA,NBA,SG,51,1931,28.9,.583,.082,.556,3.2,11.2,7.3,40.5,3.0,2.5,15.3,34.7,,5.9,2.9,8.8,.219,,6.5,1.9,8.4,5.1
2007-08 ★,26,MIA,NBA,SG,51,1954,21.5,.549,.082,.498,2.7,10.5,6.6,37.5,2.4,1.5,16.4,33.1,,1.8,1.5,3.3,.082,,3.0,0.0,3.0,2.5
2008-09 ★,27,MIA,NBA,SG,79,3048,30.4,.574,.160,.443,3.5,12.2,7.8,40.3,3.0,2.8,11.6,36.2,,10.3,4.4,14.7,.232,,8.7,2.0,10.7,9.7
2009-10 ★,28,MIA,NBA,SG,77,2792,28.0,.562,.161,.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,,8.5,4.6,13.0,.224,,7.4,2.0,9.4,8.0
2010-11 ★,29,MIA,NBA,SG,76,2823,25.6,.581,.149,.471,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,,8.1,4.7,12.8,.218,,4.4,1.5,5.9,5.7
2011-12 ★,30,MIA,NBA,SG,49,1625,26.3,.559,.067,.355,5.6,11.6,8.7,27.3,2.7,3.1,11.8,31.3,,4.8,2.9,7.7,.227,,4.5,1.8,6.3,3.4
2012-13 ★,31,MIA,NBA,SG,69,2391,24.0,.571,.060,.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,,6.1,3.5,9.6,.192,,2.8,1.1,3.9,3.5
2013-14 ★,32,MIA,NBA,SG,54,1775,22.0,.588,.042,.339,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,,3.5,2.0,5.5,.149,,1.9,0.3,2.3,1.9
2014-15 ★,33,MIA,NBA,SG,62,1971,21.4,.534,.094,.341,3.6,9.6,6.7,32.1,2.0,0.9,14.4,34.7,,2.1,1.4,3.5,.086,,2.4,-1.2,1.2,1.6
2015-16 ★,34,MIA,NBA,SG,74,2258,20.3,.517,.037,.343,4.3,10.7,7.6,27.4,1.8,1.4,13.0,31.6,,2.4,2.6,4.9,.105,,0.9,-0.1,0.8,1.6
Career,,,NBA,,855,30560,24.7,.562,.090,.450,4.3,11.5,8.0,31.5,2.5,2.0,13.8,32.0,,72.7,41.1,113.8,.179,,4.3,1.1,5.3,56.4
